Date,Price_Maize,Price_Millet,Price_Sorghum,Exchange_Rate,NDVI_Anomaly,NDMI_Anomaly,Rainfall_Anomaly,Price_Maize_Lag1,Price_Maize_Lag2,Price_Sorghum_Lag1,Price_Sorghum_Lag2,Price_Millet_Lag1,Price_Millet_Lag2,NDVI_Anomaly_Lag1,NDVI_Anomaly_Lag2,NDMI_Anomaly_Lag1,NDMI_Anomaly_Lag2,Rainfall_Anomaly_Lag1,Rainfall_Anomaly_Lag2,Exchange_Rate_Lag1,Exchange_Rate_Lag2
2019-03-01,9022.0,9116.5,8678.5,358.83321790864824,-0.06147362629859377,-0.6074634631275837,-0.8808718847644997,8860.0,9092.0,8401.5,8255.6,9152.5,9174.0,-0.2741029638116386,-0.44653219856519133,-0.3507732750509367,-0.612256601560181,-0.31358525027825784,-0.4637670332205415,360.13324930224184,362.1194124974652
2019-04-01,8999.75,9167.25,7970.0,358.3972475091391,-0.6415507441141318,-0.5710775598110217,0.29209977543224136,9022.0,8860.0,8678.5,8401.5,9116.5,9152.5,-0.06147362629859377,-0.2741029638116386,-0.6074634631275837,-0.3507732750509367,-0.8808718847644997,-0.31358525027825784,358.83321790864824,360.13324930224184
2019-05-01,8891.4,9320.0,7373.2,358.5514521333812,-0.49538576003605855,-0.43330715119431085,1.6126313575525728,8999.75,9022.0,7970.0,8678.5,9167.25,9116.5,-0.6415507441141318,-0.06147362629859377,-0.5710775598110217,-0.6074634631275837,0.29209977543224136,-0.8808718847644997,358.3972475091391,358.83321790864824
2019-06-01,8752.5,8965.0,7500.0,357.0153516601214,1.5063645988382044,1.2496100163052453,0.3889600211595949,8891.4,8999.75,7373.2,7970.0,9320.0,9167.25,-0.49538576003605855,-0.6415507441141318,-0.43330715119431085,-0.5710775598110217,1.6126313575525728,0.29209977543224136,358.5514521333812,358.3972475091391
2019-07-01,8460.0,8786.0,7396.0,357.9098067287044,0.6215671450915722,0.9021254274236546,0.01633003267158675,8752.5,8891.4,7500.0,7373.2,8965.0,9320.0,1.5063645988382044,-0.49538576003605855,1.2496100163052453,-0.43330715119431085,0.3889600211595949,1.6126313575525728,357.0153516601214,358.5514521333812
2019-08-01,7942.0,8492.5,6857.5,360.8805485384338,-0.5926430213398356,0.22891569179922747,1.0365724271165548,8460.0,8752.5,7396.0,7500.0,8786.0,8965.0,0.6215671450915722,1.5063645988382044,0.9021254274236546,1.2496100163052453,0.01633003267158675,0.3889600211595949,357.9098067287044,357.0153516601214
2019-09-01,9167.5,8645.0,8972.5,358.8087549336203,-1.385461079950815,-1.4663117977117042,-1.3686041148531585,7942.0,8460.0,6857.5,7396.0,8492.5,8786.0,-0.5926430213398356,0.6215671450915722,0.22891569179922747,0.9021254274236546,1.0365724271165548,0.01633003267158675,360.8805485384338,357.9098067287044
2019-10-01,8572.5,9065.0,7717.5,359.8416696653473,0.03961188000562626,0.058143374619621664,0.7888202075895167,9167.5,7942.0,8972.5,6857.5,8645.0,8492.5,-1.385461079950815,-0.5926430213398356,-1.4663117977117042,0.22891569179922747,-1.3686041148531585,1.0365724271165548,358.8087549336203,360.8805485384338
2019-11-01,9720.0,9127.5,9070.0,360.49026676279743,1.4762771422426872,-0.15326444055586508,0.09384825123680884,8572.5,9167.5,7717.5,8972.5,9065.0,8645.0,0.03961188000562626,-1.385461079950815,0.058143374619621664,-1.4663117977117042,0.7888202075895167,-1.3686041148531585,359.8416696653473,358.8087549336203
2019-12-01,8770.0,9067.5,7587.5,360.62026685899747,1.118842198992512,0.06606361971853393,-0.055923266532830376,9720.0,8572.5,9070.0,7717.5,9127.5,9065.0,1.4762771422426872,0.03961188000562626,-0.15326444055586508,0.058143374619621664,0.09384825123680884,0.7888202075895167,360.49026676279743,359.8416696653473
2020-01-01,8960.0,9090.0,7682.0,360.62026685899747,-0.48880221890841197,-0.6933205229272279,-0.6156517282263708,8770.0,9720.0,7587.5,9070.0,9067.5,9127.5,1.118842198992512,1.4762771422426872,0.06606361971853393,-0.15326444055586508,-0.055923266532830376,0.09384825123680884,360.62026685899747,360.49026676279743
2020-02-01,9205.0,9670.0,9400.0,362.18761318362914,-0.09385582305694591,-1.3549170184361758,-0.6140057513777626,8960.0,8770.0,7682.0,7587.5,9090.0,9067.5,-0.48880221890841197,1.118842198992512,-0.6933205229272279,0.06606361971853393,-0.6156517282263708,-0.055923266532830376,360.62026685899747,360.62026685899747
2020-03-01,9452.5,10637.5,9837.5,366.43459142543054,-0.5766857746164621,-1.348404443676432,0.6385084085682766,9205.0,8960.0,9400.0,7682.0,9670.0,9090.0,-0.09385582305694591,-0.48880221890841197,-1.3549170184361758,-0.6933205229272279,-0.6140057513777626,-0.6156517282263708,362.18761318362914,360.62026685899747
2020-04-01,10816.0,12436.0,10860.0,381.97097020626427,-0.6405531096563559,-0.39064261620844404,-0.09916257240523749,9452.5,9205.0,9837.5,9400.0,10637.5,9670.0,-0.5766857746164621,-0.09385582305694591,-1.348404443676432,-1.3549170184361758,0.6385084085682766,-0.6140057513777626,366.43459142543054,362.18761318362914
2020-05-01,11490.0,19435.0,10747.5,388.34951456310677,-0.5486365300478366,-0.7706607671763707,0.2672015936177748,10816.0,9452.5,10860.0,9837.5,12436.0,10637.5,-0.6405531096563559,-0.5766857746164621,-0.39064261620844404,-1.348404443676432,-0.09916257240523749,0.6385084085682766,381.97097020626427,366.43459142543054
2020-06-01,13202.5,15070.0,13285.0,386.1003861003861,-0.38775870791791117,0.22773021639572466,-0.994086789099758,11490.0,10816.0,10747.5,10860.0,19435.0,12436.0,-0.5486365300478366,-0.6405531096563559,-0.7706607671763707,-0.39064261620844404,0.2672015936177748,-0.09916257240523749,388.34951456310677,381.97097020626427
